Name,Year,Global_Sales
uDraw Studio,2010.0,2.46
Final Fantasy V,1992.0,2.45
Final Fantasy Tactics,1997.0,2.45
Sonic Adventure,1998.0,2.42
Ice Hockey,1988.0,2.42
ATV Offroad Fury,2001.0,2.41
Dino Crisis,1998.0,2.41
Minecraft,2014.0,2.41
Tetris Plus,1996.0,2.4
Pro Wrestling,1987.0,2.4
Theme Hospital,1997.0,2.4
Zumba Fitness,2010.0,2.39
Monopoly,1994.0,2.39
Dead Island,2011.0,2.39
Guitar Hero,2005.0,2.38
Bloodborne,2015.0,2.38
The Incredibles,2004.0,2.37
Donkey Kong Land II,1996.0,2.35
Dragon Warrior Monsters,1998.0,2.35
Skylanders SWAP Force,2013.0,2.34
My Fitness Coach,2008.0,2.34
Just Dance Kids,2010.0,2.32
Mario Tennis,2000.0,2.32
Grand Theft Auto,1997.0,2.32
Chrono Trigger,1995.0,2.31
LEGO Marvel Super Heroes,2013.0,2.3
Dead Island,2011.0,2.29
Tomb Raider II,1997.0,2.29
Yokai Watch Busters,2015.0,2.28
TOCA Touring Car Championship,1997.0,2.28
Minecraft,2014.0,2.25
Monster Hunter Tri,2009.0,2.25
Sonic Advance,2001.0,2.24
New Super Luigi U,2013.0,2.22
Scribblenauts,2009.0,2.22
Frogger,1981.0,2.2
Guitar Hero II,2007.0,2.2
Pro Yakyuu Family Stadium,1986.0,2.2
Sonic Unleashed,2008.0,2.2
Saints Row,2006.0,2.19
Donkey Kong Country,2000.0,2.19
Pokemon Ranger,2006.0,2.18
Final Fantasy XIII,2010.0,2.17
Tennis,1984.0,2.17
Your Shape featuring Jenny McCarthy,2009.0,2.16
Volleyball,1987.0,2.15
Mahjong,1983.0,2.14
Demon Attack,1981.0,2.13
Dance Dance Revolution Extreme,2004.0,2.13
Tetris DS,2006.0,2.13
Final Fantasy Tactics Advance,2003.0,2.13
Final Fantasy III,2006.0,2.12
Project Gotham Racing,2001.0,2.12
Golf,1989.0,2.12
Borderlands,2009.0,2.11
Mario Sports Mix,2010.0,2.11
Mortal Kombat,2011.0,2.11
Parasite Eve,1998.0,2.1
Derby Stallion,1997.0,2.09
Dead Rising,2006.0,2.09
Finding Nemo,2003.0,2.09
Tetris Worlds,2002.0,2.08
Sim Theme Park,1998.0,2.08
Dark Souls,2011.0,2.07
The Incredibles,2004.0,2.06
SoulCalibur II,2003.0,2.06
Carnival Games,2008.0,2.05
Sonic Mega Collection,2002.0,2.05
Diablo III,2013.0,2.05
NBA Jam,1992.0,2.05
Donkey Kong Country,2003.0,2.04
Dead Space,2008.0,2.02
Forza Horizon,2012.0,2.02
TouchMaster,2007.0,2.01
LEGO Marvel Super Heroes,2013.0,2.0
DriveClub,2014.0,2.0
Super Street Fighter II,1993.0,2.0
Tennis,1989.0,1.99
Harry Potter and the Chamber of Secrets,2002.0,1.99
Harry Potter and the Chamber of Secrets,2002.0,1.98
SimCity,1991.0,1.98
Sonic Classic Collection,2010.0,1.97
Burnout Paradise,2008.0,1.97
BioShock Infinite,2013.0,1.96
Rad Racer,1986.0,1.96
Soccer,1985.0,1.96
Kirby Squeak Squad,2006.0,1.96
Destiny,2014.0,1.95
Crash Nitro Kart,2003.0,1.95
Def Jam Vendetta,2003.0,1.94
Who wants to be a millionaire,1999.0,1.94
Scooby Doo and the Cyber Chase,2001.0,1.94
Alleyway,1989.0,1.94
Mortal Kombat II,1993.0,1.93
Tetris DX,1998.0,1.93
Watch Dogs,2014.0,1.93
Mario Super Sluggers,2008.0,1.93
Monopoly,2008.0,1.92
Red Faction,2001.0,1.92
MX Unleashed,2004.0,1.92
PaRappa The Rapper,1996.0,1.92
Need for Speed Rivals,2013.0,1.89
Yokai Watch,2013.0,1.89
WCW Nitro,1998.0,1.88
Star Fox Adventures,2002.0,1.87
Donkey Kong Country Returns,2013.0,1.87
The Legend of Dragoon,1999.0,1.86
SingStar,2004.0,1.86
Phineas and Ferb,2009.0,1.86
Chrono Cross,1999.0,1.86
Pinball,1984.0,1.85
Jet Moto,1996.0,1.83
Secret of Mana,1993.0,1.83
The Orange Box,2007.0,1.83
Air Combat,1995.0,1.83
Namco Museum,2001.0,1.82
The Evil Within,2014.0,1.81
Crazy Taxi,2000.0,1.81
Kinect Star Wars,2012.0,1.78
Midnight Club II,2003.0,1.78
Professor Layton and the Mask of Miracle,2011.0,1.78
Wii Party U,2013.0,1.77
Final Fantasy II,1991.0,1.77
WWF Attitude,1998.0,1.76
The SpongeBob SquarePants Movie,2004.0,1.76
Golden Sun,2001.0,1.76
Kid Icarus,1986.0,1.76
State of Emergency,2002.0,1.76
BioShock Infinite,2013.0,1.76
Kingdom Hearts,2013.0,1.75
Pro Evolution Soccer,2001.0,1.75
Crackdown,2007.0,1.75
Yoshi,1991.0,1.75
Dance Dance Revolution X,2008.0,1.75
Sonic Colors,2010.0,1.74
Diablo III,2014.0,1.74
Destiny,2014.0,1.73
SSX Tricky,2001.0,1.73
Overwatch,2016.0,1.73
Twisted Metal III,1998.0,1.73
Disney Infinity,2013.0,1.73
Dishonored,2012.0,1.73
The Elder Scrolls Online,2015.0,1.72
Deal or No Deal,2007.0,1.71
Need for Speed Underground,2003.0,1.71
Tetris Worlds,2001.0,1.71
The Crew,2014.0,1.7
We Ski,2008.0,1.7
Super Puyo Puyo,1993.0,1.7
Saints Row IV,2013.0,1.69
Time Crisis,1997.0,1.68
MySims,2007.0,1.68
Metroid Fusion,2002.0,1.68
Big Beach Sports,2008.0,1.67
Knack,2013.0,1.67
Spy Hunter,2001.0,1.67
Dying Light,2015.0,1.66
Heavenly Sword,2007.0,1.66
SSX,2000.0,1.66
NBA Ballers,2004.0,1.66
Need for Speed Carbon,2006.0,1.66
Go Vacation,2011.0,1.65
Army of Two,2008.0,1.65
Dig Dug,1982.0,1.64
Kinectimals,2010.0,1.64
Until Dawn,2015.0,1.64
Viva Pinata,2006.0,1.63
Pikmin,2001.0,1.63
Sonic Generations,2011.0,1.63
Ape Escape,1999.0,1.63
Rage,2011.0,1.62
Kirby Air Ride,2003.0,1.62
Sled Storm,1998.0,1.62
Pokemon Battle Revolution,2006.0,1.61
Baseball,1989.0,1.61
Super Mario Strikers,2005.0,1.61
Dollar Dash,2005.0,1.6
River Raid,1981.0,1.6
Silent Hill,1999.0,1.6
Sonic Heroes,2003.0,1.6
Diablo,1996.0,1.59
Soul Edge,1996.0,1.59
SoulCalibur IV,2008.0,1.59
MySims Kingdom,2008.0,1.58
Donkey Kong Classics,1988.0,1.56
Twisted Metal,1995.0,1.56
Dark Souls III,2016.0,1.56
Final Fight,1990.0,1.56
LEGO Marvel Super Heroes,2013.0,1.56
Mafia II,2010.0,1.55
Dishonored,2012.0,1.55
Stuntman,2002.0,1.55
Watch Dogs,2014.0,1.55
Fire Emblem Fates,2015.0,1.54
Dark Cloud,2000.0,1.54
Die Hard Trilogy,1996.0,1.54
MySims Kingdom,2008.0,1.53
The Simpsons Game,2007.0,1.53
Knockout Kings,1997.0,1.52
The Simpsons Skateboarding,2002.0,1.52
Xevious,1984.0,1.52
Mafia II,2010.0,1.52
Simpsons Wrestling,2001.0,1.51
The Simpsons Game,2007.0,1.51
Monopoly,1997.0,1.51
SoulCalibur II,2003.0,1.5
Tokyo Xtreme Racer Zero,2000.0,1.5
NFL Blitz,1998.0,1.5
Red Faction II,2002.0,1.5
Super Scribblenauts,2010.0,1.5
WWF No Mercy,2000.0,1.5
Ice Climber,1985.0,1.5
Sonic CD,1993.0,1.5
Nintendo World Cup,1990.0,1.48
Wario Land II,1997.0,1.48
SoulCalibur IV,2008.0,1.47
Mario Golf,1999.0,1.47
Disney Princess,2003.0,1.47
Chrono Trigger,2008.0,1.47
LittleBigPlanet PS Vita,2012.0,1.47
Xenogears,1998.0,1.46
The SpongeBob SquarePants Movie,2004.0,1.46
Midway Arcade Treasures,2003.0,1.46
Homefront,2011.0,1.46
Super Monkey Ball,2001.0,1.46
Donkey Kong,1981.0,1.46
Mario Superstar Baseball,2005.0,1.46
WCW vs the World,1998.0,1.46
LEGO City Undercover,2013.0,1.46
Diablo III,2013.0,1.45
BioShock,2008.0,1.45
Red Dead Revolver,2004.0,1.45
Smarty Pants,2007.0,1.45
Tamagotchi,1996.0,1.45
Dragon Ball Z,1993.0,1.45
Hasbro Family Game Night,2008.0,1.45
My Word Coach,2007.0,1.45
Hello Kitty Party,2007.0,1.44
SingStar Pop,2007.0,1.44
Sonic Rivals,2006.0,1.44
Kirby Super Star,1996.0,1.44
Kinect Joy Ride,2010.0,1.44
Rayman Raving Rabbids,2006.0,1.44
Need for Speed Rivals,2013.0,1.44
Disney Infinity,2013.0,1.43
NFL Street,2004.0,1.42
Sonic Generations,2011.0,1.42
Super Metroid,1994.0,1.42
Dead Space,2008.0,1.42
Ridge Racer,2004.0,1.41
Final Fantasy III,1990.0,1.4
NBA Jam,1994.0,1.39
Paper Mario,2000.0,1.38
Titanfall,2014.0,1.38
Gardening Mama,2009.0,1.38
Sonic Colors,2010.0,1.37
Pocket Monsters Stadium,1998.0,1.37
Burnout Paradise,2008.0,1.36
SingStar Abba,2008.0,1.36
Gradius,1986.0,1.36
Centipede,1981.0,1.36
Dead to Rights,2002.0,1.36
Namco Museum DS,2007.0,1.35
Alan Wake,2010.0,1.35
Mortal Kombat X,2015.0,1.35
Samurai Warriors,2004.0,1.35
Monster Hunter Freedom,2005.0,1.35
SaGa Frontier,1997.0,1.35
SingStar Party,2004.0,1.35
Test Drive,2002.0,1.34
Donkey Kong Jungle Beat,2004.0,1.34
Need for Speed Carbon,2006.0,1.34
Rage,2011.0,1.33
Skylanders SWAP Force,2013.0,1.33
WWF War Zone,1998.0,1.33
Corvette,2004.0,1.33
Need for Speed Underground Rivals,2005.0,1.32
Dark Souls II,2014.0,1.32
Kingdom Hearts II,2014.0,1.32
The LEGO Movie Videogame,2014.0,1.32
Gyromite,1985.0,1.32
Fighting Force,1997.0,1.32
Skylanders Giants,2012.0,1.32
Deal or No Deal,2009.0,1.31
Madagascar,2005.0,1.31
Rugrats Studio Tour,1999.0,1.31
LEGO Battles,2009.0,1.31
Saints Row IV,2013.0,1.3
EA Playground,2007.0,1.3
Digimon World,1999.0,1.3
Rise of the Tomb Raider,2015.0,1.3
Need for Speed Carbon,2006.0,1.29
FIFA Street,2012.0,1.29
Resident Evil Zero,2002.0,1.29
Transformers,2004.0,1.29
Valkyria Chronicles,2008.0,1.29
Champions of Norrath,2004.0,1.28
Watch Dogs,2014.0,1.28
Yakuman,1989.0,1.28
Manhunt,2003.0,1.28
Road Rash,1995.0,1.27
Atlantis,1981.0,1.27
The Elder Scrolls Online,2015.0,1.27
Rockstar Games presents Table Tennis,2007.0,1.27
Battle Arena Toshinden,1994.0,1.27
Kung Fu Panda,2008.0,1.26
Devil Dice,1998.0,1.26
Final Fantasy IV,2007.0,1.26
Hyrule Warriors,2014.0,1.26
Need for Speed Carbon,2006.0,1.26
Brian Lara Cricket,1998.0,1.26
Ratatouille,2007.0,1.26
Wheel of Fortune,1998.0,1.26
LEGO The Lord of the Rings,2012.0,1.26
Reel Fishing,1996.0,1.25
Black,2006.0,1.25
Tales of Xillia,2011.0,1.24
Diddy Kong Racing DS,2007.0,1.24
Ridge Racer V,2000.0,1.24
Ninja Gaiden,2004.0,1.23
Castlevania,1986.0,1.23
Bayonetta,2009.0,1.23
Boom Blox,2008.0,1.23
Mario Power Tennis,2004.0,1.22
Intelligent Qube,1997.0,1.22
Cars,2006.0,1.22
Chocobo no Fushigi Dungeon,1997.0,1.22
Max Payne,2001.0,1.22
WCW Mayhem,1998.0,1.22
Cars,2006.0,1.21
Fuzion Frenzy,2001.0,1.21
Sly Cooper and the Thievius Raccoonus,2002.0,1.21
The Magical Quest starring Mickey Mouse,1992.0,1.21
Need for Speed Underground,2003.0,1.21
Disney Sing It,2008.0,1.2
TwinBee,1986.0,1.2
SolarStriker,1989.0,1.2
Enter the Matrix,2003.0,1.2
Nuclear Strike,1997.0,1.19
Kobe Bryant in NBA Courtside,1998.0,1.19
Pokemon Super Mystery Dungeon,2015.0,1.19
Metal Gear Solid VR Missions,1999.0,1.18
Pole Position,1982.0,1.18
Shenmue,1999.0,1.18
Mario Tennis,2000.0,1.18
Sonic the Hedgehog,2006.0,1.18
Spore,2008.0,1.17
Soviet Strike,1996.0,1.17
Army of Two,2008.0,1.17
Gun,2005.0,1.17
Ty the Tasmanian Tiger,2002.0,1.17
Sonic Rush Adventure,2007.0,1.17
Rage Racer,1996.0,1.17
SingStar,2007.0,1.16
Bushido Blade,1997.0,1.16
Jet Force Gemini,1999.0,1.16
Mega Man X,1993.0,1.16
Sega Rally Championship,1995.0,1.16
Rocksmith,2011.0,1.16
Ninja Gaiden Sigma,2007.0,1.15
Sonic and the Black Knight,2009.0,1.15
Qix,1990.0,1.15
Derby Stallion III,1995.0,1.15
Doraemon,1986.0,1.15
Donkey Konga,2003.0,1.15
Fight Night Champion,2011.0,1.15
Tak and the Power of Juju,2003.0,1.15
Asteroids,1998.0,1.15
Puyo Puyo Sun Ketteiban,1997.0,1.15
Pokemon Rumble Blast,2011.0,1.14
Action Bass,2000.0,1.14
Shadow of the Colossus,2005.0,1.14
Brave Fencer Musashi,1998.0,1.14
Rabbids Go Home,2009.0,1.14
South Park,1998.0,1.14
Commando,1986.0,1.14
Pilotwings,1990.0,1.14
Royal Palace of White Sword and The City of Gentiles,2005.0,1.14
MechAssault,2002.0,1.13
ModNation Racers,2010.0,1.13
Cars,2006.0,1.13
Fantasy Life,2012.0,1.13
Donkey Kong,1983.0,1.13
Dragon Age II,2011.0,1.12
Moon Patrol,1982.0,1.12
Supercar Street Challenge,2001.0,1.12
Rocksmith,2011.0,1.12
GRID,2008.0,1.11
Sunset Overdrive,2014.0,1.11
Arc the Lad,1995.0,1.11
NBA Jam Tournament Edition,1994.0,1.11
Legend of Mana,1999.0,1.11
Megamania,1981.0,1.1
Jungle Hunt,1982.0,1.1
LEGO The Lord of the Rings,2012.0,1.1
Lode Runner,1984.0,1.1
The Final Fantasy Legend,1989.0,1.1
Popeye,1983.0,1.1
SingStar Legends,2006.0,1.1
Tales of Symphonia,2003.0,1.1
The Simpsons Game,2007.0,1.09
BeatMania,1998.0,1.09
Namco Museum Battle Collection,2005.0,1.09
The Godfather,2006.0,1.09
Skylanders Giants,2012.0,1.09
Endless Ocean,2007.0,1.09
Sonic Free Riders,2010.0,1.09
Prince of Persia,2008.0,1.08
Grand Theft Auto V,2015.0,1.08
The Biggest Loser,2009.0,1.08
MySims Agents,2009.0,1.08
The Orange Box,2007.0,1.08
Joust,1982.0,1.08
LEGO City Undercover,2013.0,1.08
Spore Creatures,2008.0,1.08
Doko Demo Issyo,1999.0,1.07
Virtua Fighter,1994.0,1.07
Super Princess Peach,2005.0,1.07
SoulCalibur III,2005.0,1.07
Skylanders SWAP Force,2013.0,1.07
World Tour Soccer,2005.0,1.07
Disney Universe,2011.0,1.07
Ridge Racer Revolution,1995.0,1.07
Hot Wheels Turbo Racing,1999.0,1.07
Aliens vs Predator,2010.0,1.06
Freekstyle,2002.0,1.06
Junior Brain Trainer,2008.0,1.06
Darksiders,2010.0,1.06
DiRT,2007.0,1.06
Sega Superstars Tennis,2008.0,1.06
Sleeping Dogs,2012.0,1.06
Worms Armageddon,1999.0,1.06
Hulk,2003.0,1.06
NFL Blitz,1998.0,1.06
DJ Hero,2009.0,1.06
Seek and Destroy,2002.0,1.06
Warhawk,2007.0,1.06
Cosmic Ark,1981.0,1.05
Aliens vs Predator,2010.0,1.05
Defender,1980.0,1.05
Dance on Broadway,2010.0,1.05
Adventure Island,1986.0,1.05
Arc the Lad II,1996.0,1.05
Dave Mirra Freestyle BMX,2000.0,1.05
Forza Motorsport,2005.0,1.05
Sonic the Hedgehog,2006.0,1.05
MySims Agents,2009.0,1.05
Pokemon Conquest,2012.0,1.05
The Simpsons Game,2007.0,1.05
Disney Tangled,2010.0,1.04
Tales of Destiny,1997.0,1.04
Dance Dance Revolution SuperNOVA,2006.0,1.04
Brink,2011.0,1.04
Project CARS,2015.0,1.04
LEGO Marvel Super Heroes,2013.0,1.04
ZhuZhu Pets,2010.0,1.04
WipEout Pure,2005.0,1.04
EA Sports UFC,2014.0,1.04
Sonic Unleashed,2008.0,1.03
Rayman Origins,2011.0,1.03
Bomberman,1985.0,1.03
The Simpsons Game,2007.0,1.03
Tomb Raider,1996.0,1.03
Bulletstorm,2011.0,1.02
ZombiU,2012.0,1.02
Tales of Graces f,2010.0,1.02
Harry Potter and the Prisoner of Azkaban,2004.0,1.02
Prince of Persia,2008.0,1.01
Sonic Generations,2011.0,1.01
Ninja Gaiden II,2008.0,1.01
NBA Jam Tournament Edition,1995.0,1.01
Monster Rancher,1997.0,1.01
The LEGO Movie Videogame,2014.0,1.01
Rayman Legends,2014.0,1.01
Breath of Fire III,1997.0,1.0
NES Open Tournament Golf,1991.0,1.0
SoulCalibur II,2003.0,1.0
Haze,2008.0,1.0
Zoo Tycoon DS,2005.0,1.0
Wheel of Fortune,2010.0,1.0
Disney Infinity,2013.0,1.0
Dark Souls,2011.0,1.0
Puzzler Collection,2008.0,1.0
Band Hero,2009.0,0.99
EyePet,2009.0,0.99
The Bouncer,2000.0,0.99
Shadow The Hedgehog,2005.0,0.99
Cars,2006.0,0.98
Xenoblade Chronicles,2010.0,0.98
Mario Party Advance,2005.0,0.98
Brutal Legend,2009.0,0.98
de Blob,2008.0,0.97
Fire Emblem,2003.0,0.97
LEGO The Lord of the Rings,2012.0,0.97
Romancing SaGa,1992.0,0.97
Donkey Kong Junior,1981.0,0.97
Dragon Quest X,2012.0,0.96
Gangs of London,2006.0,0.96
Mortal Kombat Trilogy,1996.0,0.96
Star Soldier,1986.0,0.96
Sonic Unleashed,2008.0,0.96
My Weight Loss Coach,2008.0,0.96
Shinobi,2002.0,0.96
PilotWings Resort,2011.0,0.96
LEGO Jurassic World,2015.0,0.95
World Championship Poker,2004.0,0.95
SingStar Abba,2008.0,0.95
Wild ARMs,1996.0,0.95
Kessen,2000.0,0.95
Brutal Legend,2009.0,0.95
Evolve,2015.0,0.95
Killzone,2004.0,0.94
The Tomb Raider Trilogy,2011.0,0.94
The SpongeBob SquarePants Movie,2004.0,0.94
Cars,2006.0,0.94
Mario Tennis Open,2012.0,0.94
Bayonetta,2009.0,0.94
Bully,2006.0,0.94
Phantasy Star Portable,2008.0,0.94
Nickelodeon Fit,2010.0,0.93
EA Sports Grand Slam Tennis,2009.0,0.93
SSX,2012.0,0.93
LEGO Jurassic World,2015.0,0.93
Crash City Mayhem,2004.0,0.93
Teenage Mutant Ninja Turtles,2003.0,0.93
Cars,2006.0,0.93
Pokken Tournament,2016.0,0.93
SnoCross Championship Racing,1999.0,0.93
Teenage Mutant Ninja Turtles,2003.0,0.92
Blue Dragon,2006.0,0.92
FIFA Street,2012.0,0.92
Space Jam,1996.0,0.92
Kung Fu Panda,2008.0,0.92
Balloon Fight,1985.0,0.92
Disney Magical World,2013.0,0.92
The Evil Within,2014.0,0.92
Sonic Riders,2006.0,0.92
Lost Odyssey,2007.0,0.92
Homefront,2011.0,0.91
Street Hoops,2002.0,0.91
Glover,1998.0,0.91
Super Momotarou Dentetsu III,1994.0,0.91
Sonic Mega Collection Plus,2004.0,0.91
DJ Hero,2009.0,0.91
The Simpsons Game,2007.0,0.91
Burnout Revenge,2005.0,0.9
Destruction Derby,1995.0,0.9
Hot Shots Tennis,2006.0,0.9
Sonic Heroes,2003.0,0.9
Samba De Amigo,2008.0,0.9
The Elder Scrolls Online,2014.0,0.9
Pure,2008.0,0.9
Fossil Fighters,2008.0,0.9
LittleBigPlanet Karting,2012.0,0.9
Madagascar,2005.0,0.89
LEGO Jurassic World,2015.0,0.89
The Jak and Daxter Collection,2012.0,0.89
Finding Nemo,2003.0,0.89
LEGO Marvel Super Heroes,2013.0,0.89
Wii Fit U,2013.0,0.89
SingStar Anthems,2006.0,0.89
Sleeping Dogs,2012.0,0.88
Grand Theft Auto IV,2008.0,0.88
GRID,2008.0,0.88
Gex,1995.0,0.87
DiRT,2007.0,0.87
Derby Stallion II,1994.0,0.87
Pictionary,2010.0,0.87
Wizards of Waverly Place,2009.0,0.87
Vagrant Story,2000.0,0.87
Lemmings,2006.0,0.87
Warriors Orochi,2007.0,0.87
Enduro,1982.0,0.87
Darksiders II,2012.0,0.86
The World Ends With You,2007.0,0.86
Rocky,2002.0,0.86
Ford Racing,2001.0,0.86
The Legendary Starfy,2008.0,0.86
Harry Potter and the Order of the Phoenix,2007.0,0.85
Rampage World Tour,1997.0,0.85
Burnout Legends,2005.0,0.85
Overwatch,2016.0,0.85
Ratatouille,2007.0,0.85
NFL GameDay,1995.0,0.85
Karaoke Revolution Glee,2010.0,0.85
Devil May Cry HD Collection,2012.0,0.84
Xenoblade Chronicles X,2015.0,0.84
Petz Dogz Fashion,2008.0,0.84
The Incredibles,2004.0,0.84
Dragon Age II,2011.0,0.84
Final Fantasy,1987.0,0.84
Street Fighter X Tekken,2012.0,0.84
Duke Nukem Forever,2011.0,0.84
Big Mutha Truckers,2002.0,0.84
Rogue Galaxy,2005.0,0.84
Need for Speed Rivals,2013.0,0.84
FIFA Soccer World Championship,2000.0,0.83
Brute Force,2003.0,0.83
The Game of Life,1998.0,0.83
